CRA_NO,CRA_NAME
8.3,Cedar Park/Meadowbrook
8.2,Olympic Hills/Victory Heights
9.5,Haller Lake
9.1,Broadview/Bitter Lake
8.1,Northgate/Maple Leaf
9.2,Licton Springs
10.1,North Beach/Blue Ridge
9.3,Greenwood/Phinney Ridge
7.4,Wedgwood/View Ridge
7.3,Ravenna/Bryant
9.4,Green Lake
10.2,Whittier Heights
10.3,Sunset Hill/Loyal Heights
7.5,Laurelhurst/Sand Point
7.2,University District
11.2,Wallingford
10.4,Ballard
11.1,Fremont
12.1,Magnolia
12.2,Interbay
12.3,Queen Anne
7.1,Montlake/Portage Bay
6.5,Madison Park
6.4,Miller Park
6.3,North Capitol Hill
11.3,Cascade/Eastlake
6.2,Capitol Hill
5.3,Central Area/Squire Park
5.1,Madrona/Leschi
13.1,Belltown
13.2,Downtown Commercial Core
6.1,First Hill
5.2,Judkins Park
13.3,Pioneer Square/International District
3.3,Duwamish/SODO
3.6,North Beacon Hill/Jefferson Park
4.4,Mt. Baker/North Rainier
1.4,Alki/Admiral
1.3,West Seattle Junction/Genesee Hill
2.1,North Delridge
4.2,Columbia City
4.3,Seward Park
3.5,Beacon Hill
1.2,Fauntleroy/Seaview
2.2,High Point
2.3,Riverview
3.2,Georgetown
3.4,South Beacon Hill/NewHolly
3.1,South Park
2.5,Highland Park
2.4,Roxhill/Westwood
4.1,Rainier Beach
1.1,Arbor Heights
