name,long,lat
Green Lake Community Center,-122.328707,47.680378
Jefferson Community Center,-122.308117,47.569779
Loyal Heights Community Center,-122.382945,47.68477
Montlake Community Center,-122.31004,47.641613
Ravenna/Eckstein Community Center,-122.304141,47.676651
Bitter Lake Community Center,-122.348408,47.724314
South Park Community Center,-122.324018,47.528346
Southwest Community Center,-122.368952,47.527887
Van Asselt Community Center,-122.295241,47.539405
Queen Anne Community Center,-122.359234,47.636143
Yesler Community Center,-122.320772,47.601427
Alki Community Center,-122.406987,47.5776
Ballard Community Center,-122.392405,47.67285
Delridge Community Center,-122.364001,47.56333
Garfield Community Center,-122.302395,47.607701
Hiawatha Community Center,-122.384601,47.578143
High Point Community Center,-122.3748,47.54065
International District Community Center,-122.322831,47.596411
Langston Hughes Cultural Arts Center,-122.310087,47.601397
Laurelhurst Community Center,-122.277861,47.659175
Magnolia Community Center,-122.399828,47.641954
Meadowbrook Community Center,-122.291539,47.705952
Miller Community Center,-122.306852,47.621879
Rainier Community Center,-122.284537,47.561319
Rainier Beach Community Center,-122.270747,47.524042
