long,lat,OBJECTID
-122.2693626,47.50246868,1
-122.3757933,47.52086813,2
-122.3285392,47.52164966,3
-122.343466,47.52236557,4
-122.3879956,47.5223886,5
-122.2807194,47.52728288,6
-122.270363,47.5283968,7
-122.3641354,47.52854816,8
-122.3205047,47.5295491,9
-122.2820922,47.53543215,10
-122.3910028,47.53618771,11
-122.2934561,47.5363999,12
-122.2881144,47.53829193,13
-122.2960095,47.54138827,14
-122.290552,47.5417487,15
-122.2810134,47.5442118,16
-122.3212746,47.54499359,17
-122.387652,47.545684,18
-122.3731883,47.54816769,19
-122.3732239,47.5499198,20
-122.3698138,47.55055088,21
-122.3636543,47.55505066,22
-122.3056043,47.55731571,23
-122.393188,47.561295,24
-122.2948296,47.56130639,25
-122.3164535,47.56204878,26
-122.2915426,47.56314905,27
-122.384318,47.56458184,28
-122.359071,47.564828,29
-122.2978936,47.56682517,30
-122.3129255,47.56775294,31
-122.2885321,47.57157483,32
-122.2915162,47.57248056,33
-122.2915522,47.58684755,34
-122.2954213,47.58719749,35
-122.314151,47.58848054,36
-122.308938,47.59501284,37
-122.3139708,47.60286893,38
-122.2963906,47.60666174,39
-122.3086384,47.60937363,40
-122.35096,47.61400525,41
-122.3118105,47.61805877,42
-122.3250096,47.61981262,43
-122.3326105,47.62097238,44
-122.3193604,47.62125137,45
-122.3186027,47.62346884,46
-122.3066371,47.62482162,47
-122.3502129,47.62498824,48
-122.359289,47.635189,49
-122.2783505,47.6356966,50
-122.3522946,47.63883536,51
-122.3770646,47.64119893,52
-122.398596,47.641853,53
-122.325225,47.6426079,54
-122.3608716,47.6455324,55
-122.3253711,47.64748082,56
-122.347545,47.649441,57
-122.3473141,47.65135136,58
-122.3928728,47.6516826,59
-122.3450318,47.65514874,60
-122.3593972,47.65782795,61
-122.3613158,47.6600656,62
-122.3321288,47.66334123,63
-122.333172,47.664087,64
-122.3130755,47.6649037,65
-122.341301,47.667274,66
-122.369719,47.667363,67
-122.3738929,47.66767941,68
-122.3126613,47.66914249,69
-122.3952142,47.67066886,70
-122.3042519,47.6765249,71
-122.3541556,47.6772782,72
-122.3478859,47.67806378,73
-122.3153151,47.67991224,74
-122.3680018,47.68095602,75
-122.3834561,47.6840623,76
-122.342306,47.686385,77
-122.315349,47.689058,78
-122.351062,47.690354,79
-122.3620999,47.69254969,80
-122.3501793,47.69332508,81
-122.373294,47.696571,82
-122.3507244,47.70255836,83
-122.3219593,47.70289815,84
-122.308507,47.7059753,85
-122.315607,47.7128437,86
-122.2918635,47.71994659,87
-122.292324,47.723713,88
-122.355955,47.724829,89
-122.3494727,47.73212542,90
-122.3092501,47.57389242,91
-122.3539326,47.61615848,92
-122.354779,47.5212,93
-122.369285,47.533458,94
-122.2866186,47.53999061,95
-122.372407,47.544699,96
-122.2747071,47.55250569,97
-122.2749362,47.5594104,98
-122.3851204,47.5635541,99
-122.407914,47.578053,100
-122.3015615,47.59272131,101
-122.3003537,47.61170774,102
-122.30632,47.62336293,103
-122.3469441,47.63526378,104
-122.3784329,47.6472866,105
-122.382396,47.655668,106
-122.3133047,47.66564791,107
-122.385399,47.670478,108
-122.328654,47.680427,109
-122.3893459,47.69149852,110
-122.2573447,47.515332,111
-122.35016,47.534172,112
-122.2945561,47.54290715,113
-122.2959395,47.57902929,114
-122.340073,47.608864,115
-122.3528534,47.620932,116
-122.2916601,47.62570175,117
-122.4003437,47.6543285,118
-122.3037537,47.66643769,119
-122.3604321,47.67239752,120
-122.290214,47.686157,121
-122.3306144,47.69619312,122
-122.3292725,47.72406461,123
-122.2807084,47.66805595,124
-122.3183802,47.72455957,125
-122.386742,47.579056,126
-122.2742303,47.55311445,127
-122.3761239,47.5575375,128
-122.3189136,47.60302562,129
-122.2929054,47.62501783,130
-122.3200561,47.65628724,131
-122.4048523,47.6811449,132
-122.3417632,47.7052613,133
-122.3006516,47.68763786,134
-122.354828,47.710417,135
