long,lat,OBJECTID,GIS_ID,name,ADDRESS
-122.303873,47.649856,1,,University of Washington Station,
-122.320179,47.619726,2,,Capitol Hill Station,
-122.326997,47.591152,3,,Stadium Station,
-122.327295,47.581153,4,,Sodo Station,
-122.31165,47.579188,5,,Beacon Hill Station,
-122.335644,47.607046,6,,University Street Station,
-122.292728,47.55968,7,,Columbia City Station,
-122.328149,47.59805,8,,International District/Chinatown Station - Bay C,
-122.297688,47.576342,9,,Mount Baker Station,
-122.337076,47.611493,10,,Westlake Station,
-122.279413,47.522381,11,,Rainier Beach Station,
-122.281476,47.537953,12,,Othello Station,
-122.331592,47.603132,13,,Pioneer Square Station,
