name,Address,Website,long,lat,enroll_val,math_perc,reading_perc,isa_perc,s_per_t,fam_sat,stu_sat,red_lunch
Aki Kurose,3928 S Graham St,http://www.akikurose.org/,-122.281981,47.546321,721,0.512043333,0.507596667,0.93398,18,0.857,0.464,0.81969
Broadview-Thomson,,,-122.35469,47.724647,195,0.66832,0.508173333,0.95024,14,0.718,0.425,0.61026
Cascade Parent Partnership,,,-122.358753,47.646227,29,0.21429,0.28571,0.99974,23,-,0.739,0.24138
Catharine Blaine,,,-122.399477,47.642806,208,0.810026667,0.755483333,0.95643,21,0.811,0.525,0.09135
Denny International,8402 30th Ave SW,http://www.seattleschools.org/schools/denny/,-122.370709,47.527917,864,0.599126667,0.581203333,0.92687,16,0.718,0.458,0.72454
Eckstein,3003 NE 75th St,http://www.ecksteineagles.org,-122.294983,47.682519,906,0.779623333,0.727536667,0.94874,21,0.774,0.46,0.14459
Hamilton International,4400 Interlake Ave N,http://www.seattleschools.org/schools/hamilton/,-122.338026,47.657081,1094,0.763843333,0.781316667,0.95373,19,0.793,0.545,0.08501
Hazel Wolf ,,,-122.314053,47.713317,280,0.76793,0.708526667,0.9489,18,0.816,0.508,0.23214
Jane Addams,,,-122.292775,47.709883,825,0.63445,0.62743,0.94403,18,0.763,0.448,0.29818
Madison,3429 45th Ave SW,http://www.seattleschools.org/schools/madison/,-122.390281,47.572982,776,0.651966667,0.630416667,0.93907,20,0.635,0.458,0.31572
Madrona,,,-122.290618,47.612284,77,0.433313333,0.298926667,0.94325,14,-,0.436,0.72727
Mcclure,1915 1st Ave W,http://www.seattleschools.org/schools/mcclure/,-122.358954,47.636827,552,0.718396667,0.604866667,0.93299,18,0.639,0.452,0.19565
Mercer,1600 S Columbian Wy,http://www.seattleschools.org/schools/mercer/,-122.312083,47.564132,1101,0.65954,0.646133333,0.95214,17,0.853,0.505,0.70572
Orca,,,-122.276076,47.5548,126,0.436156667,0.34501,0.93565,17,0.671,0.231,0.53175
Pathfinder,,,-122.357557,47.5628,172,0.57105,0.476176667,0.95482,15,0.916,0.442,0.31395
Salmon Bay,,,-122.380475,47.676437,353,0.723766667,0.560296667,0.94946,18,0.811,0.487,0.13598
Seattle World,,,-122.309127,47.613464,43,0,-,0.89515,11,-,0.535,0.95349
South Shore,,,-122.271701,47.523862,257,0.38584,0.37349,0.95221,14,0.596,0.37,0.69261
TOPS,,,-122.324119,47.642346,167,0.647683333,0.486123333,0.95448,18,0.784,0.465,0.28144
Washington,2101 S Jackson St,http://65.110.89.109/index.asp,-122.30415,47.597956,122,0.69164,0.608433333,0.94277,19,0.689,0.377,0.46759
Whitman,9201 15th Ave NW,http://www.seattleschools.org/schools/whitman/,-122.377602,47.696752,122,0.70011,0.659256667,0.93684,19,0.603,0.372,0.3043
